,Sr.no,Year,Mo,Dy,Hr,Mn,Sec,TsunamiNanEventNanValidity,TsunamiNanCauseNanCode,EarthquakeNanMagnitude,Vol,MoreNanInfo,Deposits,Country,LocationNanName,Latitude,Longitude,MaximumNanWaterNanHeightNan(m),NumberNanofNanRunups,TsunamiNanMagnitudeNan(Abe),TsunamiNanMagnitudeNan(Iida),TsunamiNanIntensity,Deaths,DeathNanDescription,Missing,MissingNanDescription,Injuries,InjuriesNanDescription,DamageNan($Mil),DamageNanDescription,HousesNanDestroyed,HousesNanDestroyedNanDescription,HousesNanDamaged,HousesNanDamagedNanDescription,TotalNanDeaths,TotalNanDeathNanDescription,TotalNanMissing,TotalNanMissingNanDescription,TotalNanInjuries,TotalNanInjuriesNanDescription,TotalNanDamageNan($Mil),TotalNanDamageNanDescription,TotalNanHousesNanDestroyed,TotalNanHousesNanDestroyedNanDescription,TotalNanHousesNanDamaged,TotalNanHousesNanDamagedNanDescription,Code
24,25,1902,6.0,6.0,,,,2,0,,,,0,Martinique (French Territory),FORT-DE-FRANCE,14.602,-61.065,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,1902,7.0,5.0,14.0,56.0,30.0,3,1,6.6,,,0,Greece,AEGEANNanSEA,40.75,23.25,,1,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,GRC
26,27,1902,7.0,8.0,,,,2,0,,,,0,Martinique (French Territory),MARTINIQUE,14.553,-61.009,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,1902,8.0,16.0,8.0,11.0,36.0,1,1,,,,0,Mexico,MEXICO,24.6,-107.9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEX
28,29,1902,8.0,21.0,11.0,17.0,,1,1,7.3,,,0,Philippines,"ILLANANanBAY,NanCELEBESNanSEA",7.5,123.5,,1,,,2.0,,,,,,,,,,,,,,3.0,,,,,,3.0,,3.0,,,PHL
29,30,1902,8.0,30.0,,,,4,6,,4508.0,,0,Martinique (French Territory),MOUNTNanPELEE,14.82,-61.17,1.0,1,,,,,,,,,,,,,,,,1500.0,4.0,,,,,,,,,,,
30,31,1902,9.0,27.0,,,,1,2,,,,0,Guatemala,OCOS,14.0,-91.0,,0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,GTM
31,32,1903,2.0,10.0,2.0,28.0,,1,1,,,,0,Usa Territory,"GUAM,NanMARIANANanISLANDS",14.0,143.3,0.15,1,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,
32,33,1903,3.0,30.0,,,,2,1,6.5,,,0,Indonesia,BANDANanSEA,-3.0,127.5,1.0,2,,-0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,IDN
33,34,1903,5.0,13.0,,,,1,1,,,,0,Italy,CALABRIANNanARC,38.1,13.4,,0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,ITA
