,Sr.no,Year,Mo,Dy,Hr,Mn,Sec,TsunamiNanEventNanValidity,TsunamiNanCauseNanCode,EarthquakeNanMagnitude,Vol,MoreNanInfo,Deposits,Country,LocationNanName,Latitude,Longitude,MaximumNanWaterNanHeightNan(m),NumberNanofNanRunups,TsunamiNanMagnitudeNan(Abe),TsunamiNanMagnitudeNan(Iida),TsunamiNanIntensity,Deaths,DeathNanDescription,Missing,MissingNanDescription,Injuries,InjuriesNanDescription,DamageNan($Mil),DamageNanDescription,HousesNanDestroyed,HousesNanDestroyedNanDescription,HousesNanDamaged,HousesNanDamagedNanDescription,TotalNanDeaths,TotalNanDeathNanDescription,TotalNanMissing,TotalNanMissingNanDescription,TotalNanInjuries,TotalNanInjuriesNanDescription,TotalNanDamageNan($Mil),TotalNanDamageNanDescription,TotalNanHousesNanDestroyed,TotalNanHousesNanDestroyedNanDescription,TotalNanHousesNanDamaged,TotalNanHousesNanDamagedNanDescription,Code
397,398,1932,5.0,7.0,,,,-1,9,,,,0,Italy,CALABRIANNanARC,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA
398,399,1932,6.0,3.0,10.0,36.0,58.9,4,1,8.1,,,1,Mexico,CENTRALNanMEXICO,19.623,-103.919,10.0,19,,1.5,2.0,4.0,1.0,,,,,,2.0,,2.0,,,400.0,3.0,,,120.0,3.0,,3.0,,3.0,,,MEX
399,400,1932,6.0,18.0,10.0,12.0,33.3,4,1,7.8,,,0,Mexico,CENTRALNanMEXICO,19.081,-103.631,1.0,2,,1.0,0.5,,,,,,,,,,,,,,,,,,,,2.0,,,,,MEX
400,401,1932,6.0,22.0,12.0,59.0,30.6,4,1,7.7,,,1,Mexico,CENTRALNanMEXICO,19.242,-104.383,10.0,6,,3.3,1.5,75.0,2.0,,,100.0,2.0,,3.0,,,,,75.0,2.0,,,100.0,2.0,,3.0,400.0,3.0,,,MEX
401,402,1932,6.0,29.0,,,,2,1,,,,0,Mexico,S.NanMEXICO,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEX
402,403,1932,9.0,9.0,13.0,38.0,52.0,2,1,6.2,,,0,Indonesia,BANDANanSEA,-3.57,128.35,,2,,,0.0,,,,,,,,,,,,,,,,,,,,3.0,73.0,2.0,,3.0,IDN
403,404,1932,9.0,15.0,13.0,54.0,54.0,2,1,6.8,,,0,New Zealand,N.NanNEWNanZEALAND,-39.0,177.5,,1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,NZL
404,405,1932,9.0,26.0,19.0,20.0,42.0,1,1,6.9,,,0,Greece,NORTHNanAEGEAN,40.5,23.9,2.0,2,,,3.0,,,,,,,,1.0,,,,,161.0,3.0,,,669.0,3.0,,4.0,4106.0,4.0,3218.0,4.0,GRC
405,406,1932,11.0,4.0,,,,1,1,,,,0,Venezuela,CUMANA,10.5,-64.2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,407,1932,11.0,10.0,,,,-1,9,,,,0,Usa,"WILLETTSNanPOINT,NanNEWNanYORK",,,5.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
407,408,1933,1.0,8.0,16.0,,,4,6,6.0,2822.0,,1,Russia,"KHARIMKOTAN,NanN.NanKURILNanISLANDS",49.12,154.508,9.0,2,,3.2,2.0,2.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,
408,409,1933,2.0,23.0,8.0,9.0,12.0,1,1,7.6,,,0,Chile,NORTHERNNanCHILE,-20.0,-71.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHL
409,410,1933,3.0,2.0,17.0,31.0,0.0,4,1,8.4,,,2,Japan,SANRIKU,39.209,144.59,29.0,294,,4.9,3.5,3022.0,4.0,,,,,,4.0,6000.0,4.0,,,3022.0,4.0,,,,,,4.0,6000.0,4.0,,,JPN
410,411,1933,3.0,11.0,1.0,54.0,7.8,1,9,6.3,,,0,Usa,S.NanCALIFORNIA,33.616,-117.966,0.1,2,,-3.3,-3.0,,,,,,,,,,,,,120.0,3.0,,,,,41.0,4.0,,,,,USA
411,412,1933,4.0,23.0,5.0,57.0,35.0,1,1,6.4,,,0,Greece,"COS,NanDODECANESE",36.759,27.299,2.0,1,,,2.0,,,,,,,,,,,,,181.0,3.0,,,600.0,3.0,,3.0,,2.0,,2.0,GRC
412,413,1933,5.0,19.0,,,,3,1,,,,0,Togo,GOLDNanCOAST,6.9,0.6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGO
413,414,1933,6.0,18.0,21.0,37.0,0.0,4,1,7.1,,,0,Japan,SANRIKU,38.1,142.4,0.2,8,,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,JPN
414,415,1933,10.0,2.0,15.0,29.0,21.0,3,1,6.9,,,0,Ecuador,ECUADOR,-2.0,-81.0,,1,,0.6,1.5,,,,,,,,,,,,,,,,,,,,,,,,,ECU
415,416,1933,12.0,12.0,14.0,11.0,18.0,2,1,,,,0,Papua New Guinea,BISMARCKNanSEA,-5.0,151.0,,3,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,PNG
416,417,1933,12.0,25.0,,,,1,6,,697.0,,0,Philippines,E.NanSAMARNanISLAND,12.77,124.05,,1,,0.5,1.0,9.0,1.0,,,,,,3.0,,,,,9.0,1.0,,,,,,3.0,,,,,PHL
417,418,1934,1.0,15.0,8.0,43.0,18.0,0,1,8.0,,,0,Nepal,"BIHAR-NEPAL,NanGANGESNanRIVER",26.773,86.76,,0,,,,,,,,,,,,,,,,10600.0,4.0,,,,,,4.0,,4.0,,,NPL
418,419,1934,2.0,14.0,3.0,59.0,34.0,4,1,7.9,,,0,Philippines,SOUTHNanCHINANanSEA,17.5,119.0,,1,,,0.5,,,,,,,,,,,,,,,,,,,,1.0,,,,,PHL
419,420,1934,4.0,7.0,3.0,,,3,8,,,,1,Norway,TAFJORD,62.267,7.4,62.3,12,,,,41.0,1.0,,,,,,2.0,,,,,41.0,1.0,,,,,,2.0,,,,,NOR
420,421,1934,6.0,3.0,,,,2,1,,,,0,Iceland,ICELAND,66.0,-18.25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISL
421,422,1934,7.0,18.0,1.0,36.0,24.0,3,1,7.7,,,0,Panama,COSTANanRICA-PANAMA,8.0,-82.5,,2,,1.0,1.5,,,,,,,,1.0,,2.0,,,,,,,4.0,1.0,0.05,1.0,,2.0,,,PAN
422,423,1934,7.0,18.0,19.0,40.0,24.0,3,1,7.8,,,0,Solomon Islands,SOLOMONNanISLANDS,-11.907,166.731,0.65,3,,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,SLB
423,424,1934,7.0,21.0,6.0,18.0,23.3,3,1,7.2,,,0,Solomon Islands,SOLOMONNanISLANDS,-11.139,165.503,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLB
424,425,1934,8.0,21.0,,,,0,9,,,,0,Usa,S.NanCALIFORNIA,33.7,-118.2,12.0,9,,,3.0,,,,,,,0.075,1.0,1.0,1.0,,,,,,,,,0.075,1.0,1.0,1.0,,,USA
425,426,1934,11.0,30.0,2.0,5.0,10.0,4,1,7.0,,,0,Mexico,MEXICO,18.5,-105.5,0.11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEX
426,427,1934,12.0,4.0,17.0,24.0,38.0,1,1,6.9,,,0,Chile,NORTHERNNanCHILE,-19.5,-69.5,,1,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,3.0,,,CHL
427,428,1934,12.0,12.0,14.0,15.0,,1,1,,,,0,Papua New Guinea,BISMARCKNanSEA,-4.2,152.2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PNG
428,429,1935,1.0,4.0,14.0,41.0,30.8,3,3,6.4,,,0,Turkey,MARMARANanSEA,40.62,27.451,,0,,,2.0,,,,,,,,,,,,,5.0,1.0,,,30.0,1.0,,3.0,,4.0,,,TUR
429,430,1935,5.0,30.0,21.0,32.0,46.0,0,1,7.5,,,0,Pakistan,QUETTA,29.5,66.8,,0,,,,,,,,,,,,,,,,60000.0,4.0,,,,,25.0,4.0,,4.0,,,PAK
430,431,1935,7.0,19.0,0.0,50.0,0.0,4,1,6.5,,,0,Japan,JAPAN,36.6,141.4,0.2,1,,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,JPN
431,432,1935,8.0,22.0,20.0,0.0,,1,9,,,,0,Portugal,AZORES,,,,0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,PRT
432,433,1935,9.0,20.0,1.0,46.0,43.5,3,1,7.8,,,0,Papua New Guinea,BISMARCKNanSEA,-3.824,141.416,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PNG
433,434,1935,10.0,12.0,16.0,45.0,0.0,4,1,7.2,,,0,Japan,SANRIKU,39.9,143.7,0.3,8,,-1.7,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,JPN
434,435,1935,10.0,18.0,0.0,11.0,0.0,4,1,7.0,,,0,Japan,SANRIKU,40.7,144.3,0.2,2,,-2.3,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,JPN
435,436,1935,11.0,21.0,11.0,41.0,,1,9,,,,0,Usa,HAWAII,19.5,-155.5,,1,,,2.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,USA
436,437,1935,11.0,25.0,10.0,3.0,3.0,2,1,6.5,,,0,Indonesia,CELEBESNanSEA,5.5,94.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDN
437,438,1935,12.0,18.0,7.0,10.0,36.0,0,1,6.0,,,0,China,SICHUANNanPROVINCE,28.7,103.6,,1,,,,,,,,,,,,,,,,100.0,2.0,,,,,,2.0,,3.0,,,CHN
438,439,1935,12.0,28.0,2.0,35.0,0.0,1,1,7.9,,,0,Indonesia,SW.NanSUMATRA,0.001,98.25,,0,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,2.0,,,IDN
439,440,1936,2.0,2.0,,,,1,9,,,,0,New Zealand,"GOOSENanBAY,NanSOUTHNanISLAND",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NZL
440,441,1936,2.0,25.0,,,,1,0,,,,0,Nauru,"NAURU,NanOCEANNanISLAND",-0.5,166.9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRU
441,442,1936,4.0,1.0,2.0,9.0,15.0,4,1,7.7,,,0,Indonesia,SULAWESI,4.5,126.5,3.0,2,,1.5,2.0,,,,,,,,,,,,,,,,,3.0,1.0,,2.0,169.0,3.0,,,IDN
442,443,1936,7.0,13.0,11.0,12.0,15.0,4,1,7.3,,,0,Chile,NORTHERNNanCHILE,-24.5,-70.0,1.0,3,,,0.5,,,,,,,,,,,,,1.0,1.0,,,40.0,1.0,,2.0,,3.0,,,CHL
443,444,1936,8.0,23.0,21.0,12.0,13.0,2,1,7.3,,,0,Indonesia,OFFNanNORTHWESTNanCOAST,6.1,94.7,,0,,,,,,,,,,,,,,,,9.0,1.0,,,20.0,1.0,,2.0,,,,,IDN
444,445,1936,9.0,13.0,,,,4,8,,,,0,Norway,LOEN,61.87,6.851,74.0,5,,,,73.0,2.0,,,,,,1.0,,,,,73.0,2.0,,,,,,1.0,,,,,NOR
445,446,1936,10.0,27.0,15.0,50.0,0.0,4,8,,,,0,Usa,"LITUYANanBAY,NanAK",58.6,-137.1,149.35,1,,5.6,4.0,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,USA
446,447,1936,11.0,2.0,20.0,46.0,0.0,4,1,7.7,,,0,Japan,SANRIKU,38.2,142.2,0.7,11,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,JPN
447,448,1936,11.0,13.0,12.0,31.0,,2,1,7.3,,,0,Russia,KAMCHATKA,55.2,164.0,13.0,1,,3.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
448,449,1936,,,,,,3,0,,,,0,New Caledonia,NEWNanCALEDONIA,-20.5,165.0,2.2,2,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,NCL
449,450,1937,5.0,29.0,,,,4,6,,1346.0,,1,Papua New Guinea,RABAUL,-4.271,152.203,2.5,4,,1.3,1.5,,1.0,,,,,,1.0,,,,,507.0,3.0,,,,,,1.0,,1.0,,,PNG
450,451,1937,8.0,20.0,11.0,59.0,16.0,3,1,7.5,,,0,Philippines,W.NanLUZONNanISLAND,14.5,121.5,,2,,0.5,1.0,,,,,,,,,,,,,1.0,1.0,,,,3.0,,3.0,,3.0,,,PHL
451,452,1937,9.0,21.0,21.0,2.0,0.0,3,1,5.7,,,0,Russia,KAMCHATKA,56.0,162.5,,0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
452,453,1937,9.0,21.0,,,,-1,0,5.8,,,0,Usa,"BERINGNanSEA,NanAK",58.0,-165.0,,0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,USA
453,454,1937,9.0,22.0,,,,1,0,5.8,,,0,Russia,KAMCHATKA,58.0,165.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,455,1937,11.0,6.0,,,,2,1,6.0,,,0,Indonesia,BANDANanSEA,-3.0,132.3,0.5,1,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,IDN
455,456,1938,1.0,28.0,,,,0,6,,1682.0,,0,Congo,NYAMURAGIRA,-1.408,29.2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,COG
456,457,1938,2.0,1.0,19.0,4.0,22.0,4,1,8.6,,,0,Indonesia,BANDANanSEA,-5.045,131.614,1.0,5,,1.0,1.5,,,,,,,,2.0,24.0,1.0,8.0,1.0,,,,,,,,2.0,24.0,1.0,8.0,1.0,IDN
457,458,1938,2.0,6.0,5.0,0.0,,2,0,,,,0,Australia,"BONDINanBEACH,NanSYDNEY",,,,2,,,,5.0,1.0,,,35.0,1.0,,,,,,,5.0,1.0,,,35.0,1.0,,,,,,,AUS
458,459,1938,2.0,13.0,,,,2,1,6.0,,,0,Indonesia,BANDANanSEA,-3.0,132.3,0.5,1,,,-0.5,,,,,,,,,,,,,,,,,,,,1.0,,,,,IDN
459,460,1938,3.0,6.0,1.0,56.0,,1,1,,,,0,Papua New Guinea,SOLOMONNanSEA,-5.1,153.1,0.03,1,,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,PNG
460,461,1938,3.0,22.0,15.0,22.0,0.0,-1,1,6.3,,,0,Canada,BRITISHNanCOLUMBIA,52.2,-131.9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN
461,462,1938,3.0,,,,,2,8,,,,0,Norway,WESTERNNanNORWAY,62.333,6.967,,0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,NOR
462,463,1938,5.0,12.0,15.0,38.0,57.0,3,1,7.5,,,0,Papua New Guinea,SOLOMONNanSEA,-6.0,147.8,,1,,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,1.0,PNG
463,464,1938,5.0,19.0,17.0,8.0,21.0,4,1,7.6,,,0,Indonesia,MAKASSARNanSTRAIT,-1.0,120.0,3.0,6,,1.6,,17.0,1.0,,,,,,1.0,,,,,17.0,1.0,,,,,,3.0,942.0,3.0,,,IDN
464,465,1938,5.0,23.0,7.0,18.0,,4,1,7.1,,,0,Japan,JAPANNanTRENCH,36.7,141.4,0.83,7,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,JPN
465,466,1938,5.0,28.0,16.0,42.0,,4,1,6.1,,,0,Japan,E.NanHOKKAIDONanISLAND,43.6,144.3,0.9,2,,-0.1,,1.0,1.0,,,,,,1.0,7.0,1.0,,,1.0,1.0,,,,,,1.0,7.0,1.0,,,JPN
466,467,1938,6.0,10.0,9.0,53.0,44.6,4,1,7.6,,,0,Japan,RYUKYUNanISLANDS,25.321,125.115,1.5,1,,0.6,0.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,JPN
467,468,1938,7.0,13.0,,,,0,9,,,,0,Usa,"HOLLAND,NanMICHIGAN",,,,0,,,,5.0,1.0,,,,,,,,,,,5.0,1.0,,,,,,,,,,,USA
468,469,1938,9.0,21.0,,,,1,9,,,,0,Usa,NEWNanJERSEYNanCOAST,39.95,-74.12,,1,,,,,,,,,,1.31,2.0,,,,,,,,,,,,,,,,,USA
469,470,1938,11.0,5.0,8.0,43.0,21.0,4,1,7.7,,,0,Japan,SANRIKU,37.1,141.7,0.57,17,,0.1,-0.5,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,20.0,1.0,,,JPN
470,471,1938,11.0,5.0,10.0,50.0,15.0,4,1,7.6,,,0,Japan,SANRIKU,37.2,141.7,0.56,12,,0.1,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,JPN
471,472,1938,11.0,6.0,8.0,53.0,53.0,4,1,7.5,,,0,Japan,OFFNanFUKUSHIMANanPREFECTURE,37.5,141.8,1.26,15,,0.4,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,JPN
472,473,1938,11.0,6.0,21.0,38.0,47.0,4,1,7.1,,,0,Japan,OFFNanFUKUSHIMANanPREFECTURE,37.0,141.7,1.25,11,,0.3,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,JPN
473,474,1938,11.0,9.0,2.0,22.0,,-1,1,6.5,,,0,Japan,SANRIKU,37.6,141.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,JPN
474,475,1938,11.0,10.0,20.0,18.0,41.2,4,1,8.2,,,0,Usa,"SHUMAGINNanISLANDS,NanAK",55.48,-158.37,0.3,9,,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,USA
475,476,1938,11.0,13.0,22.0,31.0,,4,1,6.0,,,0,Japan,SANRIKU,37.0,141.5,0.75,7,,-0.5,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,JPN
476,477,1938,11.0,16.0,11.0,8.0,0.0,-1,1,6.9,,,0,Japan,SANRIKU,37.4,141.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,JPN
477,478,1938,11.0,22.0,1.0,14.0,0.0,4,1,6.9,,,0,Japan,SANRIKU,36.7,142.1,0.3,4,,-1.7,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,JPN
478,479,1938,11.0,30.0,2.0,29.0,0.0,4,1,7.0,,,0,Japan,SANRIKU,37.0,142.2,0.2,9,,-2.3,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,JPN
479,480,1939,1.0,25.0,3.0,32.0,14.0,1,1,8.3,,,0,Chile,CENTRALNanCHILE,-36.25,-72.25,,0,,,,,,,,,,,,,,,,30000.0,4.0,,,,,920.0,4.0,,4.0,,,CHL
480,481,1939,1.0,27.0,20.0,10.0,15.0,1,1,,,,0,Italy,CALABRIANNanARC,38.5,14.7,,0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,ITA
481,482,1939,1.0,30.0,2.0,18.0,30.0,2,1,7.7,,,0,Papua New Guinea,SOLOMONNanSEA,-7.08,155.386,,3,,0.9,1.0,,,,,,,,,,,,,5.0,1.0,,,,3.0,,2.0,,3.0,,,PNG
482,483,1939,3.0,20.0,3.0,22.0,,4,1,6.6,,,0,Japan,SEIKAIDO,32.3,132.0,0.8,4,,-0.3,0.0,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,JPN
483,484,1939,4.0,18.0,6.0,22.0,45.0,1,1,7.4,,,0,Chile,NORTHERNNanCHILE,-27.0,-70.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHL
484,485,1939,4.0,30.0,2.0,55.0,29.1,3,1,7.9,,,0,Solomon Islands,SOLOMONNanISLANDS,-9.295,159.234,10.5,8,,3.4,1.5,12.0,1.0,,,,,,1.0,,1.0,,,12.0,1.0,,,,,,2.0,,2.0,,,SLB
485,486,1939,5.0,1.0,5.0,58.0,,4,1,7.0,,,0,Japan,NW.NanHONSHUNanISLAND,40.1,139.5,1.2,25,,-1.7,0.0,,,,,,,,,,,,,27.0,1.0,,,52.0,2.0,,2.0,479.0,3.0,,,JPN
486,487,1939,5.0,6.0,17.0,0.0,7.0,1,1,6.5,,,0,Philippines,"TAYABASNanBAY,NanSULUNanSEA",13.5,121.25,,1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,PHL
487,488,1939,5.0,8.0,1.0,46.0,53.0,4,1,6.7,,,0,Portugal,AZORES,37.198,-24.356,0.2,2,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,PRT
488,489,1939,6.0,22.0,19.0,19.0,33.0,2,1,6.4,,,0,Ghana,GOLDNanCOAST,5.568,-0.625,,2,,,,,,,,,,,,,,,,22.0,1.0,,,130.0,3.0,,3.0,1500.0,4.0,,,GHA
489,490,1939,7.0,24.0,,,,2,6,,7224.0,,0,Grenada,KICKNan'EMNanJENNYNanVOLCANO,12.3,-61.63,2.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRD
490,491,1939,8.0,15.0,3.0,52.0,,2,1,5.6,,,0,Cuba,SANTANanCLARA,22.2,-79.1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUB
491,492,1939,12.0,21.0,21.0,0.0,40.0,3,1,8.0,,,0,Indonesia,N.NanMOLUCCASNanISLANDS,0.0,123.0,,2,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,3.0,,,IDN
492,493,1939,12.0,26.0,23.0,57.0,23.8,4,1,7.8,,,0,Turkey,SOUTHNanBLACKNanSEA,39.907,39.586,0.53,11,,,4.0,,,,,,,,,,,,,32700.0,4.0,,,100000.0,4.0,20.0,3.0,120000.0,4.0,,,TUR
493,494,1940,1.0,15.0,13.0,19.0,24.0,2,1,5.1,,,0,Italy,NORTHERNNanSICILY,38.067,13.467,,0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,ITA
494,495,1940,5.0,24.0,16.0,33.0,57.0,2,1,8.2,,,0,Peru,CENTRALNanPERU,-10.5,-77.0,2.0,5,,1.0,1.5,,,,,,,,,,,,,179.0,3.0,,,3500.0,4.0,,3.0,,3.0,,,PER
495,496,1940,8.0,1.0,15.0,8.0,24.0,4,1,7.5,,,1,Japan,W.NanHOKKAIDONanISLAND,44.2,139.5,5.0,62,,1.8,1.5,10.0,1.0,,,,,,1.0,20.0,1.0,,,10.0,1.0,,,,,,2.0,20.0,1.0,,,JPN
496,497,1940,8.0,31.0,7.0,,,4,8,,,,0,Norway,NORTHERNNanNORWAY,65.883,13.167,,0,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,NOR
497,498,1940,10.0,4.0,7.0,54.0,42.0,1,1,7.3,,,0,Chile,NORTHERNNanCHILE,-22.0,-71.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHL
498,499,1940,10.0,11.0,18.0,41.0,13.0,1,1,7.0,,,0,Chile,SOUTHERNNanCHILE,-41.5,-74.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHL
499,500,1941,1.0,13.0,16.0,27.0,44.7,4,1,7.4,,,0,Papua New Guinea,BISMARCKNanSEA,-4.175,152.071,0.15,3,,-3.3,-2.5,,,,,,,,,,,,,4.0,1.0,,,,,,2.0,1.0,1.0,,3.0,PNG
500,501,1941,1.0,20.0,3.0,37.0,1.9,2,1,6.0,,,0,Cyprus,LEVANTIANNanSEA,35.221,33.751,,1,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,CYP
501,502,1941,2.0,9.0,9.0,44.0,4.0,0,1,6.6,,,0,Usa,NORTHERNNanCALIFORNIA,40.5,-125.25,,3,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,USA
502,503,1941,3.0,16.0,18.0,48.0,,2,1,,,,0,Italy,CALABRIANNanARC,38.3,12.2,,0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,ITA
503,504,1941,6.0,26.0,11.0,52.0,3.7,4,1,8.0,,,1,India,"ANDAMANNanSEA,NanE.NanCOASTNanINDIA",11.94,92.626,1.5,2,,,,,,,,,,,,,,,,,1.0,,,,1.0,,4.0,,4.0,,,IND
504,505,1941,7.0,7.0,,,,3,8,,,,0,Spain,"TENERIFE,NanCANARYNanISLANDS",28.48,-16.25,6.0,2,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,ESP
505,506,1941,11.0,18.0,16.0,46.0,,4,1,7.4,,,0,Japan,SEIKAIDO,32.0,132.1,1.2,11,,0.3,0.0,2.0,1.0,,,,,,1.0,27.0,1.0,,,2.0,1.0,,,,,,1.0,27.0,1.0,,,JPN
506,507,1941,11.0,25.0,18.0,3.0,57.5,4,1,7.8,,,0,Atlantic Ocean,AZORESNanGIBRALTARNanFRACTURENanZONE,37.301,-18.966,0.23,14,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
507,508,1941,12.0,5.0,20.0,46.0,58.0,4,1,7.6,,,0,Costa Rica,COSTANanRICA-PANAMA,8.7,-83.2,0.21,5,,-3.3,-3.0,,,,,,,,,,,,,6.0,1.0,,,,3.0,,2.0,,3.0,,,CRI
508,509,1941,12.0,6.0,21.0,24.0,40.0,4,1,6.9,,,0,Costa Rica,COSTANanRICA-PANAMA,8.5,-84.0,0.12,1,,-3.3,-4.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,CRI
509,510,1942,5.0,22.0,10.0,30.0,36.0,1,1,5.8,,,0,Colombia,COLOMBIA,4.6,-74.5,1.0,1,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,COL
510,511,1942,5.0,,,,,3,0,,,,0,New Caledonia,NEWNanCALEDONIA,-20.6,165.0,3.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCL
511,512,1942,8.0,24.0,22.0,50.0,27.0,4,3,8.2,,,0,Peru,S.NanPERU,-15.0,-76.0,2.0,3,,1.0,1.0,,,,,,1.0,,1.0,,1.0,,,30.0,1.0,,,25.0,1.0,,3.0,,3.0,,,PER
512,513,1943,4.0,6.0,16.0,7.0,15.0,4,1,8.2,,,0,Chile,CENTRALNanCHILE,-30.75,-72.0,1.0,12,,,,,,,,,,,1.0,,,,,11.0,1.0,,,,,,1.0,,1.0,,,CHL
513,514,1943,6.0,13.0,5.0,12.0,0.0,4,1,7.1,,,0,Japan,SE.NanHOKKAIDONanISLAND,41.2,143.3,0.6,1,,-0.7,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,JPN
514,515,1944,4.0,9.0,2.0,30.0,,0,8,,,,0,Usa,"COLUMBIANanRIVERNanVALLEY,NanWA",,,9.14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
515,516,1944,8.0,20.0,6.0,30.0,,4,7,,1476.0,,0,Italy,STROMBOLINanISLAND,38.789,15.213,,2,,,4.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,ITA
516,517,1944,9.0,14.0,,,,1,9,,,,0,Usa,NEWNanJERSEYNanCOAST,38.933,-74.9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
517,518,1944,10.0,6.0,2.0,34.0,47.6,3,1,6.7,,,0,Turkey,"EDREMITNanGULF,NanAEGEANNanSEA",39.509,26.587,,1,,,2.0,,,,,,,,1.0,,,,,30.0,1.0,,,,,,4.0,5500.0,4.0,,,TUR
518,519,1944,12.0,7.0,4.0,35.0,,4,1,8.1,,,0,Japan,OFFNanSOUTHEASTNanCOASTNanKIINanPENINSULA,34.0,137.1,10.0,156,,2.9,2.5,1223.0,4.0,,,2135.0,4.0,,4.0,3059.0,4.0,,,1223.0,4.0,,,2135.0,4.0,,3.0,29205.0,4.0,46950.0,4.0,JPN
519,520,1944,,,,,,1,0,,,,0,Usa,"CONEYNanISLAND,NanNY",40.3,-74.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
