,TsunamiNanCauseNanCode,EarthquakeNanMagnitude,MaximumNanWaterNanHeightNan(m),TotalNanDeaths,TsunamiNanIntensity,NumberNanofNanRunups
847,6,,0.5,,,2
848,1,6.2,,5300.0,,0
849,1,5.9,,,,1
850,1,6.9,,2.0,,0
851,8,,4.1,,,5
852,1,7.8,0.5,,,8
853,1,7.0,5.5,,2.0,52
854,1,7.9,2.0,,1.0,18
855,1,7.6,3.0,1.0,-1.5,28
856,3,7.7,14.3,2.0,3.0,77
857,3,4.9,0.25,,,1
858,1,7.8,0.38,,,3
859,1,8.0,0.9,,,15
860,1,7.0,0.38,,-2.5,5
861,1,7.5,0.12,23000.0,,1
862,1,6.7,,5.0,,0
863,1,8.0,9.0,8000.0,2.5,28
864,1,7.6,0.08,,-2.0,2
865,1,6.8,0.15,34.0,-1.0,6
866,1,7.6,,,,1
867,1,8.1,0.04,18.0,-1.5,5
868,1,7.2,0.4,1.0,,19
869,1,8.3,15.0,189.0,3.0,16
870,1,5.5,0.5,,,0
871,1,5.5,0.6,,-0.5,1
872,1,7.2,0.03,,-3.0,2
873,1,6.6,0.35,25.0,,14
874,1,6.7,0.07,,-2.5,2
875,1,6.6,0.05,,-3.0,2
876,1,6.8,0.17,,-1.5,4
877,1,7.5,0.3,,0.0,15
878,1,7.6,0.65,,0.0,20
879,8,,6.8,1.0,,0
880,1,7.7,0.6,28.0,0.5,31
881,1,,,,,0
882,1,6.9,0.03,,,1
883,1,6.4,0.45,50.0,2.0,5
884,9,,3.0,,4.0,8
885,1,7.4,0.05,,-1.0,1
886,1,4.4,0.12,,1.0,1
887,8,,,,,1
888,1,7.8,1.5,9.0,,1
889,0,,3.0,,,0
890,1,6.4,0.12,,,11
891,3,7.5,0.15,,,2
892,1,7.6,1.3,5.0,,3
893,9,,4.8,3.0,,2
894,1,5.3,,,,0
895,1,6.9,3.0,131.0,1.0,6
896,1,5.6,,,1.0,1
897,8,,9.0,1239.0,,1
898,8,,,,,1
899,8,5.0,,,,1
900,1,7.9,2.0,115.0,,2
901,8,,2.0,,3.0,1
902,8,,10.0,9.0,,6
903,1,6.9,,,,1
904,1,8.1,6.0,600.0,2.5,54
905,1,6.9,0.41,69.0,1.0,2
906,1,7.0,0.16,,-2.0,10
907,6,,250.0,61.0,,2
908,8,,,,,0
909,1,6.2,0.56,,,16
910,1,7.9,0.14,,,34
911,3,7.1,0.7,5000.0,2.0,6
912,1,6.9,0.37,,,28
913,1,6.7,1.0,22.0,3.0,4
914,1,6.4,1.0,,,0
915,8,,0.29,,,9
916,1,7.6,0.3,,,1
917,1,7.7,1.0,,-2.0,4
918,7,,2.0,,,1
919,1,7.3,0.09,3.0,,1
920,1,7.1,0.1,,,1
921,1,5.4,,,,0
922,1,6.6,0.1,,,0
923,1,6.9,1.3,110.0,,31
924,1,7.2,0.4,,-1.0,22
925,1,7.5,0.2,,,4
926,3,6.0,,13.0,,0
927,1,6.4,0.19,,-1.0,1
928,1,7.2,,,,1
929,1,6.9,3.0,,1.5,1
930,1,7.9,0.13,,,4
931,1,7.5,0.13,6.0,,3
932,1,7.8,14.93,104.0,2.0,230
933,1,5.9,0.6,,,1
934,1,6.9,1.0,,,27
935,1,7.0,,,2.0,1
936,1,7.1,0.1,,,1
937,1,6.6,0.1,16.0,,1
938,6,,,,,0
939,8,,7.0,,4.0,1
940,1,7.7,0.2,5.0,0.2,1
941,1,7.7,1.5,,,3
942,1,6.8,,2.0,,0
943,3,5.6,,,3.0,1
944,1,7.2,0.2,,-2.0,3
945,1,5.5,0.5,,,9
946,1,7.0,0.2,,,6
947,5,,5.0,37.0,,1
948,1,6.9,0.13,,,12
949,1,6.8,0.2,,,2
950,1,8.0,3.5,180.0,,64
951,1,6.4,0.12,,,1
952,1,6.2,2.0,,,1
953,3,7.3,1.3,,,2
954,1,8.0,3.0,9500.0,,19
955,1,7.6,1.2,,,3
956,1,8.0,0.9,,,66
957,1,6.4,,,,0
958,6,,75.0,1700.0,,1
959,1,7.8,0.22,,,8
960,1,7.8,0.3,15.0,,5
961,1,6.7,0.1,,,3
962,1,7.4,1.5,3.0,,1
963,8,,3.0,,2.0,1
964,1,7.6,0.2,1.0,,6
965,1,6.7,0.04,2.0,,1
966,1,5.1,0.16,,,3
967,8,,,,,1
968,1,6.3,,,,1
969,1,6.7,0.1,,,1
970,1,7.3,0.25,,,2
971,1,7.0,0.04,,,1
972,1,7.4,0.07,,,2
973,1,7.2,0.06,,,1
974,1,6.6,0.1,,,0
975,1,7.9,0.43,,,10
976,1,7.2,0.1,,,1
977,1,7.8,0.19,,,8
978,8,,2.0,,,1
979,9,,,,,1
980,1,5.4,1.03,,,2
981,1,6.8,,,,2
982,1,7.2,,5.0,,0
983,1,7.6,0.09,1.0,,2
984,1,6.6,,998.0,,1
985,1,8.1,0.15,,,4
986,3,6.5,0.29,,,3
987,1,7.1,0.1,,,2
988,1,6.9,1.0,62.0,,3
989,1,6.5,0.11,,,4
990,1,5.9,,30.0,,1
991,1,4.4,0.1,,,1
992,1,7.4,0.9,,,12
993,1,6.6,2.1,,,0
994,1,6.4,0.16,,,1
995,1,7.3,1.0,,,4
996,1,7.5,1.8,,,34
997,0,,5.0,,,1
998,3,7.3,2.0,40000.0,,6
999,1,6.5,0.2,,,4
1000,1,5.3,0.1,19.0,,1
1001,1,6.3,0.04,,,2
1002,0,,,,,1
1003,1,6.9,0.02,,,1
1004,1,5.7,0.1,,,1
1005,1,6.7,0.15,,,2
1006,1,7.6,3.0,90.0,,43
1007,9,,0.5,,,1
1008,1,7.2,0.15,,-2.5,2
1009,8,,3.0,,,0
1010,1,7.6,0.52,,0.5,6
1011,3,3.7,0.8,,,5
1012,1,7.2,1.8,,0.5,14
1013,1,7.3,6.0,,,3
1014,1,7.1,,,,1
1015,9,,3.0,,,4
1016,1,7.0,0.3,,-0.5,4
1017,1,6.3,,,,0
1018,1,7.6,9.9,170.0,2.8,83
1019,3,7.8,26.2,2500.0,2.7,111
1020,1,6.3,0.5,,-0.5,1
1021,1,6.4,,5.0,,1
1022,1,7.5,0.1,,-0.5,6
1023,1,6.6,,,,1
1024,1,7.7,32.0,231.0,3.1,196
1025,1,6.3,0.16,,,1
1026,1,7.8,2.4,,,48
1027,1,7.0,0.05,,-3.0,1
1028,9,,1.5,,,1
1029,1,6.7,0.1,60.0,-3.0,0
1030,1,7.0,2.0,9.0,1.5,3
1031,1,6.9,,,,0
1032,1,6.4,0.11,,-1.5,3
1033,8,,4.0,,4.0,1
1034,1,6.5,0.02,,,1
1035,1,7.8,13.9,238.0,2.5,74
1036,1,6.6,3.7,,,1
1037,1,6.5,,,,0
1038,1,6.1,3.0,,,1
1039,1,7.0,0.07,,-3.0,1
1040,1,6.7,0.24,1.0,,3
1041,6,,3.0,4.0,,3
1042,1,8.3,10.4,11.0,2.6,118
1043,1,6.8,3.0,1.0,1.5,1
1044,1,7.3,0.2,,-3.0,2
1045,8,,9.0,1.0,2.5,2
1046,1,7.1,7.3,81.0,2.1,56
1047,1,7.8,0.53,3.0,,13
1048,8,,0.5,,,0
1049,1,6.9,0.34,6434.0,-2.0,2
1050,1,7.4,0.09,,-1.5,2
1051,1,7.2,0.2,,-2.0,1
1052,1,6.8,0.2,,-2.0,0
1053,1,6.6,,,,1
1054,3,6.9,4.0,11.0,1.5,2
1055,1,7.7,0.5,,-2.0,9
1056,1,7.1,0.1,1989.0,-2.0,2
1057,3,6.5,1.0,26.0,3.0,2
1058,1,8.0,3.0,3.0,1.5,91
1059,1,7.7,0.28,,-1.5,2
1060,1,7.4,0.4,3.0,-1.0,1
1061,1,8.0,11.0,50.0,2.5,34
1062,1,7.1,2.59,,1.5,42
1063,3,6.8,1.5,,0.5,16
1064,1,6.7,0.07,,-3.0,1
1065,1,7.2,4.0,11.0,,7
1066,1,7.9,1.1,,0.5,37
1067,1,7.9,3.43,9.0,1.8,16
1068,8,,2.0,,2.0,1
1069,6,,30.0,,,1
1070,1,8.2,7.7,164.0,1.8,115
1071,1,7.5,5.04,12.0,1.9,59
1072,1,7.1,0.1,,-3.0,1
1073,0,,0.5,,,0
1074,1,7.9,0.51,,0.5,64
1075,1,7.3,0.18,,-1.5,1
1076,1,5.7,0.3,,-2.0,14
1077,1,6.9,0.09,,-2.5,2
1078,1,6.8,0.11,,,3
1079,1,6.6,0.2,,-2.5,1
1080,1,6.7,0.55,,0.5,6
1081,1,7.7,0.4,14.0,-1.0,3
1082,1,6.7,0.2,,-2.0,4
1083,0,,2.0,,,1
1084,0,,15.0,,,1
1085,0,,,,,1
1086,1,7.7,3.0,,-2.0,41
1087,1,7.0,,81.0,,1
1088,1,6.2,0.03,,,1
1089,1,7.7,0.1,,,1
1090,1,7.8,8.0,,0.5,18
1091,8,,8.0,,2.0,1
1092,7,,3.0,,,1
1093,8,,6.0,,4.0,1
1094,1,8.1,0.01,,,0
1095,1,7.5,0.13,,,15
1096,1,6.2,0.01,,,0
1097,3,7.0,15.03,1636.0,,93
1098,1,7.7,2.75,41.0,1.0,1
1099,6,,2.0,,,3
1100,1,7.6,2.52,17118.0,,26
1101,8,,8.0,,,9
1102,1,7.5,6.6,10.0,,53
1103,9,,20.0,,,4
1104,3,5.5,0.5,,,1
1105,1,7.6,6.0,54.0,,2
1106,1,7.9,0.3,,,1
1107,1,6.1,0.07,1.0,,4
1108,8,,0.5,,-1.0,1
1109,1,6.1,0.07,,,1
1110,1,6.5,0.14,,,1
1111,8,,4.6,,,1
1112,1,8.0,3.0,2.0,,9
1113,8,,50.0,,,4
1114,1,7.7,0.25,844.0,,1
1115,1,8.4,8.8,103.0,,152
1116,1,6.1,0.11,,,4
1117,1,6.8,0.16,,,6
1118,1,7.2,3.0,,-4.14,2
1119,1,7.5,3.0,15.0,,3
1120,0,,4.0,,,1
1121,1,6.4,0.05,,,3
1122,1,7.1,0.2,5.0,,11
1123,1,7.6,5.5,4.0,1.08,88
1124,1,6.5,,2.0,,4
1125,1,7.6,5.0,8.0,2.82,3
1126,8,,,,,1
1127,7,,10.9,,5.0,41
1128,1,7.3,2.0,,,2
1129,1,7.5,0.61,29.0,0.5,6
1130,1,6.8,3.0,2287.0,1.5,39
1131,1,5.7,0.08,9.0,,2
1132,9,,,7.0,,0
1133,6,,4.0,,,5
1134,1,7.6,,,,1
1135,1,6.3,0.5,,,1
1136,3,7.2,4.0,,,3
1137,1,8.3,4.4,2.0,,268
1138,1,7.0,0.32,,,4
1139,1,7.8,0.33,,,20
1140,1,7.3,0.15,,,2
1141,1,6.7,,,,1
1142,1,5.3,1.0,,,1
1143,8,,,,,1
1144,1,7.2,0.63,,,12
1145,1,7.4,0.93,,,24
1146,1,6.6,0.06,,,2
1147,1,7.5,2.0,34.0,,3
1148,1,6.3,2.0,1.0,,9
1149,1,7.1,,,,1
1150,1,7.0,0.12,,,2
1151,1,8.1,0.3,,,4
1152,1,9.1,50.9,227899.0,,1739
1153,1,6.6,0.39,,,11
1154,1,5.8,,,,2
1155,1,8.6,4.2,1313.0,,73
1156,1,6.7,0.4,,,1
1157,1,7.2,0.1,,,5
1158,1,7.2,0.05,,,1
1159,1,7.0,0.42,,,1
1160,9,,0.08,,,14
1161,1,5.6,,,,0
1162,1,6.7,3.5,4.0,,1
1163,1,8.0,0.27,,,55
1164,6,,1.0,,,4
1165,9,,6.0,,,1
1166,1,7.7,20.9,802.0,,211
1167,9,,,1.0,,1
1168,1,6.9,0.08,,,1
1169,1,6.7,0.1,,,1
1170,1,5.2,0.15,,,1
1171,1,8.3,21.9,,,259
1172,1,7.0,0.12,2.0,,7
1173,1,8.1,0.4,,,38
1174,1,7.1,0.08,,,2
1175,1,6.7,0.1,1.0,,3
1176,9,,1.65,4.0,,2
1177,1,8.1,12.1,52.0,,247
1178,3,6.2,50.0,10.0,,7
1179,8,,3.0,,,2
1180,7,,10.0,,,2
1181,8,,50.0,8.0,,8
1182,1,6.6,,9.0,,1
1183,1,6.2,3.2,2.0,,18
1184,1,6.7,0.03,,,1
1185,1,8.0,10.05,514.0,,135
1186,1,7.2,0.05,,,2
1187,1,8.4,5.0,25.0,,56
1188,1,7.4,0.35,,,8
1189,1,7.7,0.28,2.0,,6
1190,1,7.4,,,,0
1191,8,,38.0,,,1
1192,1,7.8,0.03,,,1
1193,1,6.5,0.12,,,1
1194,1,7.3,0.16,,,1
1195,1,6.4,0.03,,,2
1196,9,,1.3,9.0,,2
1197,1,7.9,,87652.0,,1
1198,1,6.9,0.2,,,3
1199,6,,0.19,,,2
1200,0,,2.55,,,2
1201,1,6.8,0.09,6.0,,1
1202,9,,3.6,,,5
1203,1,7.3,0.13,6.0,,3
1204,8,,13.1,,,1
1205,1,7.6,0.39,5.0,,24
1206,1,7.3,,,,0
1207,1,7.4,0.11,,,11
1208,8,,9.0,,,1
1209,1,7.2,0.13,,,1
1210,9,,1.45,,,6
1211,1,7.6,0.15,,,27
1212,1,7.3,4.0,7.0,,2
1213,1,6.4,0.3,,,3
1214,1,7.8,0.47,,,10
1215,1,7.5,0.01,,,1
1216,1,6.4,0.6,1.0,,5
1217,1,6.7,0.18,,,1
1218,8,,,,,1
1219,1,7.0,0.4,81.0,,2
1220,1,8.1,22.35,192.0,,626
1221,1,7.5,0.27,1117.0,,1
1222,1,7.6,0.29,,,37
1223,9,,,1.0,,0
1224,1,6.6,0.01,,,1
1225,1,7.1,7.52,,,51
1226,1,6.8,0.03,,,1
1227,3,7.0,3.21,316000.0,,25
1228,1,7.0,0.1,,,2
1229,1,8.8,29.0,558.0,,659
1230,1,6.9,0.14,,,2
1231,1,7.8,0.44,,,6
1232,8,,23.0,1.0,,1
1233,0,,,,,1
1234,6,,0.04,,,1
1235,1,7.5,0.03,,,2
1236,1,7.2,0.23,,,1
1237,1,6.9,0.07,,,1
1238,1,7.8,16.9,431.0,,358
1239,1,7.4,0.13,,,4
1240,1,7.3,4.1,,,12
1241,1,6.5,0.03,,,1
1242,1,6.8,0.15,,,1
1243,8,,0.3,,,0
1244,3,6.1,3.5,185.0,,1
1245,1,7.5,0.6,,,11
1246,1,9.1,39.26,18428.0,,6317
1247,1,7.1,0.08,3.0,,1
1248,1,6.8,0.03,,,1
1249,1,7.3,0.1,,,7
1250,9,,0.4,,,4
1251,1,7.6,1.2,,,24
1252,1,7.0,0.09,,,1
1253,8,,1.5,,,1
1254,8,,,,,0
1255,1,7.1,0.19,,,4
1256,1,7.0,0.15,,,1
1257,1,6.8,0.06,,,1
1258,1,7.4,0.14,,,3
1259,1,7.0,0.08,,,1
1260,1,6.7,0.05,,,2
1261,1,6.9,0.2,,,2
1262,1,7.4,0.2,2.0,,2
1263,1,8.6,1.08,10.0,,25
1264,1,8.2,,,,4
1265,1,6.3,,,,1
1266,8,,,,,0
1267,1,7.3,6.3,,,39
1268,1,7.6,0.15,1.0,,17
1269,1,7.6,0.16,2.0,,5
1270,1,7.7,12.98,1.0,,178
1271,1,7.3,0.35,48.0,,7
1272,1,7.2,1.0,,,3
1273,8,,,,,0
1274,1,7.5,1.5,,,8
1275,1,7.9,11.0,10.0,,124
1276,1,7.0,0.09,,,1
1277,1,7.2,0.2,,,1
1278,1,6.0,0.13,,,1
1279,9,,1.8,,,38
1280,1,6.2,0.01,,,1
1281,1,6.5,0.07,,,2
1282,1,6.5,0.08,,,2
1283,3,7.7,0.57,825.0,,11
1284,1,6.6,0.01,,,1
1285,1,7.1,0.4,,,9
1286,1,7.7,0.15,,,2
1287,1,6.7,0.26,,,7
1288,1,8.2,4.63,7.0,,201
1289,1,7.7,0.74,,,5
1290,1,7.6,0.05,,,8
1291,1,7.4,0.16,,,9
1292,1,7.2,0.43,,,3
1293,1,7.5,0.11,,,1
1294,1,6.9,0.16,3.0,,1
1295,1,6.9,0.13,,,5
1296,1,7.9,0.17,,,20
1297,9,,2.5,,,5
1298,8,,2.0,,,0
1299,8,,10.0,,,1
1300,1,6.5,0.2,,,6
1301,8,,60.0,,,1
1302,1,6.0,0.08,,,1
1303,1,7.0,0.47,,,5
1304,1,7.3,0.02,1.0,,2
1305,1,7.1,0.09,,,3
1306,1,6.7,0.27,,,3
1307,1,6.4,8.0,,,6
1308,1,7.5,0.5,,,2
1309,1,5.7,0.6,,,16
1310,1,7.5,1.0,,,1
1311,8,,,,,0
1312,8,,6.2,2.0,,1
1313,9,,0.18,,,3
1314,1,6.7,0.01,,,1
1315,1,7.0,0.09,,,5
1316,1,6.9,0.08,,,2
1317,1,8.3,13.6,15.0,,1128
1318,8,,193.0,,,3
1319,1,6.9,0.55,,,2
1320,1,6.7,0.3,,,1
1321,3,6.5,0.15,2.0,,1
1322,1,6.8,0.1,,,1
1323,1,6.3,0.02,1.0,,2
1324,1,7.8,0.21,,,13
1325,1,7.8,0.6,663.0,,7
1326,1,7.0,0.02,,,2
1327,1,7.2,0.19,,,1
1328,1,7.4,0.1,,,1
1329,1,6.0,0.01,,,0
1330,1,7.0,0.21,,,4
1331,1,7.8,6.9,2.0,,17
1332,1,6.9,1.44,,,44
1333,1,6.9,0.08,,,3
1334,1,7.8,0.43,1.0,,11
1335,1,6.9,0.05,,,5
1336,1,7.9,0.08,,,5
1337,1,7.6,0.44,,,4
1338,1,6.9,0.01,,,1
1339,1,7.9,0.04,3.0,,1
1340,9,,3.0,5.0,,27
1341,1,6.9,0.16,,,4
1342,1,6.9,0.2,,,1
1343,1,6.2,0.06,,,1
1344,9,,2.0,,,2
1345,1,6.3,0.4,1.0,,1
1346,8,,90.0,4.0,,5
1347,1,7.7,0.1,,,1
1348,8,,8.0,,,7
1349,1,6.6,1.9,2.0,,40
1350,1,8.2,2.7,98.0,,68
1351,1,6.7,0.15,,,4
1352,1,6.6,0.1,,,4
1353,8,,8.5,1.0,,1
1354,1,6.3,0.05,,,1
1355,1,6.6,0.08,,,1
1356,1,7.0,0.37,,,5
1357,0,,0.5,,,6
1358,1,7.5,0.4,,,8
1359,1,7.1,0.15,,,4
1360,1,7.9,0.25,,,64
1361,6,,1.0,,,1
1362,4,6.9,0.4,,,7
1363,1,5.4,0.15,,,1
1364,9,,0.22,,,10
1365,9,,0.75,1.0,,3
1366,1,6.4,2.5,17.0,,2
1367,1,6.9,2.0,560.0,,6
1368,1,8.2,,,,0
1369,1,6.3,,2.0,,0
1370,1,7.3,,5.0,,1
1371,1,7.1,0.27,,,7
1372,3,7.5,10.73,4340.0,,291
1373,1,6.5,0.05,,,1
1374,1,6.8,0.5,,,9
1375,1,7.5,2.0,,,34
1376,8,,90.0,,,49
1377,7,,85.0,437.0,,410
1378,9,,2.9,,,2
1379,9,,1.75,,,2
1380,1,7.6,,,,0
1381,1,6.4,0.07,,,1
1382,1,7.2,0.14,,,7
1383,1,6.4,0.1,,,5
1384,1,6.9,,8.0,,6
1385,6,,0.3,,,1
1386,1,7.1,0.11,1.0,,8
1387,1,6.4,0.06,4.0,,6
1388,1,7.7,0.11,,,2
1389,1,7.5,0.5,,,11
1390,9,,0.5,,,1
1391,1,6.6,0.95,,,15
1392,4,,3.0,1.0,,1
1393,9,,0.5,,,1
1394,1,7.4,0.11,,,4
1395,1,7.4,1.57,10.0,,9
1396,1,7.8,0.24,,,9
1397,1,7.6,0.76,,,17
1398,1,7.0,5.3,118.0,,272
1399,8,,0.5,,,1
1400,8,,,,,0
1401,1,6.7,0.16,,,1
1402,1,6.9,0.04,,,2
1403,1,7.7,0.78,,,39
1404,1,7.1,0.1,1.0,,4
1405,1,7.3,0.28,,,9
1406,1,7.4,0.31,,,8
1407,1,8.1,1.0,,,165
1408,1,6.0,0.05,,,5
1409,3,5.8,0.51,,,3
1410,1,8.2,0.42,,,40
1411,1,7.1,0.05,1.0,,2
1412,1,8.1,0.64,,,52
1413,1,7.2,,2248.0,,3
1414,1,7.0,0.48,3.0,,1
1415,1,6.4,,,,0
1416,1,7.3,0.07,,,2
1417,6,,0.15,,,1
1418,6,,22.0,6.0,,664
1419,6,,0.36,,,1
1420,1,6.5,0.1,,,1
1421,1,7.3,0.3,4.0,,5
1422,1,6.9,0.07,,,3
1423,1,7.0,0.05,,,1
1424,1,5.5,0.24,,,4
1425,8,,0.8,,,1
1426,1,7.0,0.08,11.0,,1
1427,1,7.6,0.79,2.0,,14
1428,1,6.8,0.09,2.0,,3
1429,6,,0.04,,,2
1430,1,7.3,0.12,,,4
1431,1,7.0,0.03,,,1
1432,1,5.4,1.0,,,4
1433,6,,0.75,,,3
1434,1,7.6,0.09,,,2
1435,1,7.8,0.25,56697.0,,5
1436,1,7.0,0.11,,,2
1437,1,7.1,0.11,,,3
1438,1,7.1,0.1,,,1
1439,1,6.2,0.1,1.0,,2
1440,1,7.7,0.61,,,24
1441,1,7.1,0.14,,,4
1442,1,7.2,0.15,1.0,,3
